Test_case_id,Title,Preconditions,Steps to reproduce,expected result,Priority,Type
TC_CART_01,Add Single Product to cart,user is on products page,1. Click 'Add to cart' on any product      2. View cart confirmation popup          3. Click 'View Cart',"Product appears in cart with correct name price and quantity of 1,",High,Positive
TC_CART_02,Add multiple product to cart,user is on products page,1. Click 'Add to cart' on any product      2. View cart confirmation popup          3. Click 'View Cart',Multiple products appear in cart page with correct name price and quantity,High,Positive
TC_CART_03,Add same product twice to cart,user is on products page and there is already atleast one product in the cart,1. Click 'Add to cart' on any product      2. View cart confirmation popup          3. Click 'View Cart',cart shows product A with Quantity number 2 instead of showing same items multiple times.,Medium,Positive
TC_CART_04,delete product from the cart,atleast one product in the cart,"1. Go to cart page 2. Click delete/remove icon on a product""",product is removed and cart total update accordingly,High,Positive
TC_CART_05,update product quantity in cart,atleast one product in the cart,". Go to cart page 2. Change quantity field to 3 3. Observe cart total"",",quantity of products is updated with the total price,High,Positive
TC_CART_06,cart persists across page navigation,atleast one product in the cart,1. Add product to cart 2. Navigate to Home then back to Cart,producst still exists with same detail in the cart section,Medium,Positive
TC_CART_07,empty cart displays appropriate msg,no products in the cart,",1. Navigate directly to cart page with empty cart,","cart shows ""empty cart"" message without any error",Medium,Negative
TC_CART_08,cart total price calculates correctly,multiple products in the cart with different prices,"1. Add multiple products with varying quantities 2. View cart total,",total equals sum of (price x quantity) for all items,High,Positive
TC_CK_01,checkout redirects guest to user login/signup,user is not logged in and has multiple products in the cart,"1. Add product to cart 2. Click 'Proceed to Checkout',",User is prompted to login or register before continuing,High,Positive
TC_CK_02,logged in user can proceed to checkout,user is logged in and has products in the cart,1. Add product to cart 2. Click 'Proceed to Checkout,User is taken to the checkout/order review page,High,Positive
TC_CK_03,order summary matches cart contents,user hass proceed to checkout,1. Compare checkout order summary to cart contents,Products quantities and total match exactly what was in the cart,High,Positive
TC_CK_04,checkout blocked when empty cart,no products in the cart,"1. Attempt to navigate directly to checkout page,","User cannot access checkout, or is redirected appropriately",Medium,Negative
TC_CK_05,place order with valid test payment details,user is on checkout page,". Enter dummy payment details 2. Click 'Place Order' 3. Submit"",",Order confirmation page is displayed with correct order details,High,Positive
TC_CK_06,description section accepts optional order notes,user is on checkout page,1. Enter text in the order comment field 2. Place order,Comment is accepted and does not block order placement,low ,Positive
TC_CK_07,address details display correctly during checkout,user has an address associated with an account,"1. Proceed to checkout 2. View delivery/billing address section,",Correct address details are shown matching account information,Medium,Positive
